Site,Label,GeoText
urn:cite:oldpersian:site.1,Behistun,"34°23m26sN 47°26m09sE"
urn:cite:oldpersian:site.2,Elvend,"36°19m07s'N 49°10m04sE"
urn:cite:oldpersian:site.3,Hamadan,"34°48m00sN 48°31m00sE"
urn:cite:oldpersian:site.4,Murghab (Pasargadae),"30°12m00sN 53°10m46sE"
urn:cite:oldpersian:site.5,Naqsh-i Rustam,"29°59m20sN 52°52m29sE"
urn:cite:oldpersian:site.6,Persepolis,"29°56m04sN 52°53m29sE"
urn:cite:oldpersian:site.7,Susa,"32°11m26sN 48°15m28sE"
urn:cite:oldpersian:site.8,Van,"38°29m39sN 43°22m48sE"
urn:cite:oldpersian:site.9,Suez,""
urn:cite:oldpersian:site.10,Kerman,"30.3231,57.088881"
