urn:cts:oldpersian:D.Pe.hc:1,urn:cite:oldpersian:inscr.DPe
urn:cts:oldpersian:D.Pe.hc:2,urn:cite:oldpersian:inscr.DPe
urn:cts:oldpersian:D.Wc.hc:1,urn:cite:oldpersian:artif.DWc
urn:cts:oldpersian:D.Wc.hc:2,urn:cite:oldpersian:artif.DWc
urn:cts:oldpersian:D.Wc.hc:3,urn:cite:oldpersian:artif.DWc
urn:cts:oldpersian:D.Wc.hc:4,urn:cite:oldpersian:artif.DWc
urn:cts:oldpersian:D.Wc.hc:5,urn:cite:oldpersian:artif.DWc
urn:cts:oldpersian:D.Wc.hc:6,urn:cite:oldpersian:artif.DWc
urn:cts:oldpersian:D.Wc.hc:7,urn:cite:oldpersian:artif.DWc
urn:cts:oldpersian:D.Wc.hc:8,urn:cite:oldpersian:artif.DWc
urn:cts:oldpersian:D.Wc.hc:9,urn:cite:oldpersian:artif.DWc
urn:cts:oldpersian:D.Wc.hc:10,urn:cite:oldpersian:artif.DWc
